TRENTO BEBIDAS ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
LISTA MAYORISTA,,PRECIO $
GIN HEREDERO PINK 750 ML,," $ 11.400,00 "
GIN ACONCAGUA BLUE 750ML,," $ 13.230,00 "
BEEFEATER 700 ML,," $ 22.840,00 "
BEEFEATER 1L,," $ 25.340,00 "
BEEFEATER BLOOD ORANGE 700 ML,," $ 25.800,00 "
BEEFEATER PINK 700 ML,," $ 25.800,00 "
TANQUERAY DARK BERRY ROYALE 700ML,," $ 26.200,00 "
TANQUERAY ENGLISH 750ML,," $ 24.600,00 "
TANQUERAY SEVILLA 750ML,," $ 26.200,00 "
BULLDOG 700ML,," $ 32.400,00 "
BOMBAY 750 ML,," $ 30.290,00 "
BOMBAY BRAMBLE 700 ML,," $ 30.290,00 "
HENDRICKS 700ML,, $ -   
,,
ESPUMANTES ,,
FEDERICO ALVEAR EXTRA DULCE 750ML,," $ 3.950,00 "
MUMM EXTRA BRUT 710ML,," $ 6.550,00 "
NIETO SENETINER EXTRA BRUT 750ML,," $ 10.800,00 "
CHANDON APERITIF 750ML,," $ 15.120,00 "
CHANDON BRUT NATURE 750ML,," $ 15.120,00 "
CHANDON DELICE 750 ML,," $ 15.120,00 "
CHANDON EXTRA BRUT 750ML,," $ 15.120,00 "
CHANDON ROSE 750ML,," $ 15.120,00 "
CHANDON EXTRA BRUT 1.5L,, $ -   
CHANDON DELICE 1.5L,, $ -   
BARON B EXTRA BRUT 750ML,," $ 27.350,00 "
BARON B BRUT NATURE 750ML,," $ 34.650,00 "
BARON B ROSE 750ML,," $ 34.650,00 "
"BARON B EXTRA BRUT ESTUCHE 1,5 L",," $ 69.600,00 "
MOET & CHANDON IMPERIAL BRUT 750ML,," $ 118.400,00 "
MOET & CHANDON IMPERIAL GOLDEN 750ML,," $ 145.000,00 "
MOET & CHANDON ICE 750ML,," $ 165.000,00 "
VEUVE CLICQUOT BRUT 750ML,," $ 145.000,00 "
VEUVE RICH 750 ML,," $ 169.000,00 "
DOM PERIGNON 750ML,," $ 576.000,00 "
ESPUMOSO NUVO 700ML,," $ 82.000,00 "
,,
RON,,
HAVANA CLUB AÑEJO 3 AÑOS 750ML,," $ 12.860,00 "
HAVANNA CLUB ESPECIAL 750ML,," $ 12.860,00 "
BACARDI BLANCO 750ML,," $ 15.200,00 "
BACARDI BLANCO 980 ML,," $ 18.740,00 "
BACARDI GOLD 750ML,," $ 15.200,00 "
BACARDI GOLD 980 ML,," $ 18.740,00 "
MALIBU 750 ML,," $ 12.000,00 "
,,
WHISKY,,
J&B 750ML,, $ -   
JAMESON 750 ML,," $ 25.940,00 "
J WALKER RED LABEL 750ML,," $ 25.920,00 "
J WALKER RED LABEL 1L,," $ 31.200,00 "
J.WALKER BLONDE 750ML,," $ 31.800,00 "
J WALKER BLACK LABEL 750ML,," $ 42.480,00 "
J WALKER BLACK LABEL 1L,," $ 53.280,00 "
J WALKER DOUBLE BLACK 750 ML,," $ 51.600,00 "
J WALKER GOLD RESERVE LABEL 750ML,," $ 96.000,00 "
J WALKER GREEN LABEL 750ML,," $ 168.000,00 "
J WALKER SWING 750ML,," $ 93.600,00 "
J WALKER BLUE LABEL 750ML,," $ 355.000,00 "
CHIVAS REGAL 12 AÑOS 1L,," $ 53.800,00 "
CHIVAS REGAL XV GOLD 750ML,," $ 63.270,00 "
CHIVAS REGAL MIZUNARA 700ML,," $ 66.940,00 "
CHIVAS REGAL 18 AÑOS 700ML,," $ 112.560,00 "
JACK DANIELS 750 ML,," $ 40.800,00 "
JACK DANIELS FIRE 750ML,," $ 40.800,00 "
JACK DANIELS HONEY 750 ML,," $ 40.800,00 "
JACK DANIELS APPLE 750 ML,," $ 40.800,00 "
,,
TEQUILA ,,
SOL AZTECA 1L,," $ 6.100,00 "
JOSE CUERVO ESPECIAL 750 ML,," $ 38.900,00 "
JOSE CUERVO SILVER 750 ML,," $ 38.900,00 "
,,
CERVEZAS,,
BRAHMA 473ML,," $ 39.000,00 "
QUILMES 473ML,," $ 35.400,00 "
BUDWEISER 473ML,,
SCHNEIDER 473ML,," $ 34.200,00 "
AMSTEL 473ML,," $ 34.200,00 "
ANDES RUBIA 473ML,," $ 44.400,00 "
ANDES ROJA 473ML,," $ 44.400,00 "
ANDES IPA 473ML,," $ 44.400,00 "
MILLER 473ML,," $ 48.000,00 "
IMPERIAL RUBIA 473ML,," $ 40.800,00 "
IMPERIAL GOLDEN 473ML,," $ 40.800,00 "
STELLA ARTOIS 473ML,," $ 46.800,00 "
HEINEKEN 473ML,," $ 58.800,00 "
SOL PORRON 330ML,, $ -   
CORONA 330ML,," $ 54.000,00 "
CORONA 710ML,," $ 44.400,00 "
,,
VINOS ,,
CALLIA MALBEC 750ML,,
FINCA LAS MORAS MALBEC 750ML,," $ 3.320,00 "
ALMA MORA MALBEC 750ML,," $ 4.370,00 "
SAINT FELICEN MALBEC 750ML,," $ 7.660,00 "
PORTILLO MALBEC 750ML,," $ 4.140,00 "
CORDERO DE PIEL DE LOBO MALBEC 750 ML,," $ 4.430,00 "
OTRO LOCO MAS MALBEC 750 ML,," $ 3.840,00 "
FOND DE CAVE MALBEC 750ML,," $ 6.900,00 "
ALTOS DEL PLATA MALBEC 750ML,,
TRUMPETER MALBEC 750ML,," $ 8.050,00 "
TRUMPETER CABERNET SAUV 750ML,," $ 8.050,00 "
RUTINI MALBEC 750ML,," $ 24.800,00 "
LUIGI BOSCA MALBEC 750ML,," $ 12.100,00 "
NICASIA BLEN MALBEC 750ML,," $ 6.550,00 "
DV CATENA CABERNET MALBEC 750ML,," $ 10.950,00 "
ANGELICA ZAPATA ALTA MALBEC 750ML ,," $ 21.620,00 "
SANTA JULIA MALBEC 750ML,, $ -   
SANTA JULIA CHENIN DULCE 750ML,," $ 7.800,00 "
COSECHA TARDIA BLANCO 750ML,," $ 3.720,00 "
,,
AGUAS Y GEASEOSAS ,,
ECO DE LOS ANDES 500ML,, $ -   
BENEDICTINO 500 ML,, $ -   
VILLAVICENCIO 500ML,," $ 10.200,00 "
VILLAVICENCIO 1.5L,, $ -   
VILLAVICENCIO CON GAS 500,," $ 10.200,00 "
VILLAVICENCIO CON GAS 1.5L,, $ -   
CEPITA NARANJA 1L,," $ 12.320,00 "
LEVITE MANZANA 500ML,, $ -   
LEVITE MANZANA 1.5 L,, $ -   
LEVITE NARANJA 500ML,, $ -   
LEVITE NARANJA 1.5 L,, $ -   
LEVITE POMELO 500ML,, $ -   
LEVITE POMELO 1.5 L,, $ -   
AQUARIUS MANZANA 500 ML,, $ -   
"AQUARIUS MANZANA 1,5L",, $ -   
AQUARIUS POMELO 500 ML,, $ -   
"AQUARIUS POMELO 1,5L",, $ -   
MIRINDA 500ML,, $ -   
"MIRINDA 1,5L",, $ -   
PEPSI 500 ML,, $ -   
PEPSI 1.5L,, $ -   
PEPSI BLACK 5OOML,, $ -   
PEPSI BLACK 1.5L,, $ -   
SEVEN UP 500ML,, $ -   
SEVEN UP 1.5L,, $ -   
SEVEN UP FREE 500 ML,, $ -   
SEVEN UP FREE 1.5L,, $ -   
PASO DE LOS TOROS POMELO 500 ML,, $ -   
PASO DE LOS TOROS POMELO 1.5L,, $ -   
PASO DE LOS TOROS TONICA 1.5L,, $ -   
PASO DE LOS TOROS POMELO SIN AZUCAR 1.5L,, $ -   
COCA COLA 500 ML,," $ 7.800,00 "
COCA COLA 1.75L,," $ 26.000,00 "
COCA COLA 2.25 L,," $ 31.200,00 "
COCA ZERO 500ML,," $ 7.800,00 "
"COCA ZERO 1,75L",," $ 26.000,00 "
COCA COLA ZERO 2.25L,," $ 31.200,00 "
SPRITE 500 ML,," $ 7.800,00 "
SPRITE 1.75,," $ 26.000,00 "
SPRITE 2.25L,," $ 31.200,00 "
FANTA 600ML,," $ 7.800,00 "
"FANTA 1,75L",," $ 26.000,00 "
FANTA 2.25L,," $ 31.200,00 "
SCHWEPPES TONICA 1.5L,," $ 25.000,00 "
SCHWEPPES POMELO 1.5L,," $ 25.000,00 "
,,
,,
PULPAS ,,
STAPLER FRUTILLA 880ML,," $ 4.750,00 "
STAPLER ARANDANOS 880ML,," $ 4.950,00 "
STAPLES ANANA 900ML,," $ 4.750,00 "
STAPLES DURAZNO 900ML,," $ 4.750,00 "
STAPLES MARACUYA 880ML,," $ 4.750,00 "
,,
,,
ENERGIZANTES,,
SPEED 250 ML,," $ 30.720,00 "
SPEED 473 ML,," $ 25.200,00 "
SPEED ZERO 473 ML,, $ -   
RED BULL 250ML,," $ 55.200,00 "
RED BULL 355ML,, $ -   
MONSTER ENERGY 473ML,," $ 13.800,00 "
MONSTER MANGO LOCO 473ML,," $ 15.000,00 "
